trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
287,False,"{'a': 0.01, 'e': 0.13537934953078465}",25,17,10.24295345821012,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,13,-24.725869338187827,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
289,False,"{'a': 0.01, 'e': 0.12546480735958065}",20,9,6.195736196246255,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
290,False,"{'a': 0.01, 'e': 0.12050276936736662}",20,2,32.470547070969985,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.01, 'e': 0.11553771881219435}",30,19,19.860706353213686,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.01, 'e': 0.11056977982006959}",35,22,24.36886612547939,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.01, 'e': 0.10559907658920793}",30,20,11.866148889238215,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.01, 'e': 0.10062573338693173}",30,14,31.116518454113407,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.01, 'e': 0.09564987454656154}",20,12,-24.922372558455514,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
296,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,0,25.00856114096584,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
297,False,"{'a': 0.01, 'e': 0.08569110759616845}",20,11,15.265773848987093,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.01, 'e': 0.08070844845480063}",20,14,-1.8097245083332572,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
299,False,"{'a': 0.01, 'e': 0.07572377160642477}",25,6,32.17814854347911,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.01, 'e': 0.0707372016677029}",25,11,25.81795036784252,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.01, 'e': 0.06574886330262336}",20,14,10.040616626539954,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,13,12.19053360686618,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.01, 'e': 0.05576738016728224}",25,16,19.88804501339542,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.01, 'e': 0.05077448493357918}",30,24,12.710023411666674,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.01, 'e': 0.04578032034039706}",35,20,28.239345961798286,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,9,17.250670127921527,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.01, 'e': 0.03578868251962797}",25,13,25.87981892563472,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.01, 'e': 0.03079145908246612}",20,15,9.970523880334863,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.01, 'e': 0.025793465860430936}",20,9,20.749402849086913,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.01, 'e': 0.020794827803092428}",25,15,20.167697743432985,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.01, 'e': 0.01579566987614213}",25,11,24.194443247960717,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.01, 'e': 0.010796117058267392}",25,11,27.336587640862,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.01, 'e': 0.005796294338028719}",30,23,14.18159857616382,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.01, 'e': 0.0007963267107332633}",20,14,12.825534749143412,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,7,34.09663925756705,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,22,15.068307043234798,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,18,20.98579133594237,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,22,24.642920726450214,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,18,13.301950772237145,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,19,9.001687531400524,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,13,13.29222470396067,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,20,8.144485982702237,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,12,32.8005025855325,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,4,46.33002498703239,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,10,24.297002506901226,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,14,16.143328370186197,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,16,17.759825198097175,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,12,15.81266152401141,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,12,14.141400867383691,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",35,20,26.050985104843015,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,0,34.46219580008357,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0, 'e': 0}",25,18,14.958190042747027,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,20,19.420251938865064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
